admin_level,id,name,Number of open links,Bigraph built in,Bigraph loaded in,Number of nodes,Number of edges,Number of boundaries,Number of streets,Number of buildings,Number of junctions,Added agent in,leave_building,move_across_linked_streets,enter_building starting in street,enter_building_from_street,leave_street,enter_building_from_boundary,enter_building starting in boundary,enter_street,Maximum resident set size (kbytes),Number of outer names
6,62428,Munich,,,0.832167,164233,78594,142,10378,54375,34443,174.262951,211.687768,,,,,,,,700396,140
6,62428,Munich,,,1.154910,164233,78594,142,10378,54375,34443,160.511537,182.567230,,,,,,,,702460,140
6,62428,Munich,,,2.173994,164233,78594,142,10378,54375,34443,162.171830,153.886142,,,,,,,,704508,140
6,62428,Munich,,,0.683078,164233,78594,142,10378,54375,34443,143.263366,148.536555,,,,,,,,699300,140
4,62422,Berlin,,,1.164219,277289,135449,115,15213,96373,53887,466.922631,538.850008,,,,,,,,1122292,208
8,51781,City of Westminster,,,0.246121,57179,28460,2,1809,23816,5925,5.476800,5.793056,,,,,,,,250484,183
9,55734,Steglitz-Zehlendorf,,,0.324239,74559,36943,12,1829,32366,6145,12.682970,12.548942,,,,,,,,335436,102
6,51800,City of London,,,0.024501,4193,2089,2,431,1077,1173,0.100775,0.100170,,,,,,,,54560,93
8,8450265,London Borough of Southwark,,,0.201203,42145,21031,1,2038,16062,5943,3.303260,3.373851,,,,,,,,179320,193
6,1920901,City of Edinburgh,,,0.219562,48146,23286,31,6138,9268,17272,12.979526,13.075818,,,,,,,,223616,57
8,7444,Paris,,,0.260864,56622,24667,101,9071,4752,28774,35.375215,36.323891,,,,,,,,248240,324
8,51805,London Borough of Tower Hamlets,,,0.150343,32888,16367,1,1885,12013,5090,2.486941,2.558016,,,,,,,,177388,92
8,1544956,Mountain View,,,0.094753,20224,10077,1,1027,7350,3468,0.965121,0.999020,,,,,,,,108512,108
10,271110,Amsterdam,,,0.192262,41306,20189,1,5082,4476,22188,8.321030,8.522800,,,,,,,,197796,152
5,10264792,Hong Kong Island,,,0.101475,21676,10647,5,1621,6555,5314,1.970230,2.034454,,,,,,,,125384,6
8,71033,Strasbourg,,,0.072619,15819,7327,16,2641,1141,8223,2.298867,2.360522,,,,,,,,97388,77
4,62422,Berlin,,,1.269533,277289,135449,115,15213,96373,53887,469.551856,533.949364,,,,,,,,1124176,208
4,62422,Berlin,,,1.160617,277289,135449,115,15213,96373,53887,434.738647,445.270395,,,,,,,,1124056,208
8,51781,City of Westminster,,,0.245638,57179,28460,2,1809,23816,5925,5.035913,5.368980,,,,,,,,254748,183
9,55734,Steglitz-Zehlendorf,,,0.398320,74559,36943,12,1829,32366,6145,11.016834,11.295978,,,,,,,,337912,102
6,51800,City of London,,,0.015695,4193,2089,2,431,1077,1173,0.109082,0.105541,,,,,,,,54508,93
8,8450265,London Borough of Southwark,,,0.185230,42145,21031,1,2038,16062,5943,3.210222,3.313438,,,,,,,,179744,193
6,1920901,City of Edinburgh,,,0.206663,48146,23286,31,6138,9268,17272,12.266886,12.835557,,,,,,,,223888,57
8,7444,Paris,,,0.232146,56622,24667,101,9071,4752,28774,34.798680,35.754204,,,,,,,,248368,324
8,51805,London Borough of Tower Hamlets,,,0.142642,32888,16367,1,1885,12013,5090,2.501892,2.491869,,,,,,,,176156,92
8,1544956,Mountain View,,,0.080531,20224,10077,1,1027,7350,3468,0.961700,0.993837,,,,,,,,109444,108
10,271110,Amsterdam,,,0.173054,41306,20189,1,5082,4476,22188,8.250009,8.342453,,,,,,,,196892,152
5,10264792,Hong Kong Island,,,0.089183,21676,10647,5,1621,6555,5314,1.963082,2.009386,,,,,,,,124256,6
8,71033,Strasbourg,,,0.062833,15819,7327,16,2641,1141,8223,2.250147,2.355550,,,,,,,,97780,77
4,62422,Berlin,,,1.209045,277289,135449,115,15213,96373,53887,407.974248,435.373907,,,,,,,,1127516,208
8,51781,City of Westminster,,,0.229968,57179,28460,2,1809,23816,5925,5.009833,5.131943,,,,,,,,252396,183
9,55734,Steglitz-Zehlendorf,,,0.313034,74559,36943,12,1829,32366,6145,10.980432,11.342236,,,,,,,,337508,102
6,51800,City of London,,,0.017086,4193,2089,2,431,1077,1173,0.102510,0.103087,,,,,,,,54524,93
8,8450265,London Borough of Southwark,,,0.173353,42145,21031,1,2038,16062,5943,3.293932,3.396379,,,,,,,,179256,193
6,1920901,City of Edinburgh,,,0.189321,48146,23286,31,6138,9268,17272,12.479439,12.832499,,,,,,,,223908,57
8,7444,Paris,,,0.217422,56622,24667,101,9071,4752,28774,36.621169,38.870399,,,,,,,,249632,324
8,51805,London Borough of Tower Hamlets,,,0.130541,32888,16367,1,1885,12013,5090,2.519465,2.521055,,,,,,,,175100,92
8,1544956,Mountain View,,,0.078698,20224,10077,1,1027,7350,3468,0.951886,0.993198,,,,,,,,108496,108
10,271110,Amsterdam,,,0.161765,41306,20189,1,5082,4476,22188,8.229770,8.537042,,,,,,,,198108,152
5,10264792,Hong Kong Island,,,0.084563,21676,10647,5,1621,6555,5314,1.972155,1.992048,,,,,,,,125228,6
8,71033,Strasbourg,,,0.062174,15819,7327,16,2641,1141,8223,2.290476,2.349028,,,,,,,,96464,77
8,51781,City of Westminster,,,0.231019,57179,28460,2,1809,23816,5925,5.014877,5.156043,,,,,,,,252124,183
9,55734,Steglitz-Zehlendorf,,,0.286720,74559,36943,12,1829,32366,6145,10.963270,11.665895,,,,,,,,338252,102
6,51800,City of London,,,0.018785,4193,2089,2,431,1077,1173,0.097845,0.096869,,,,,,,,54560,93
8,8450265,London Borough of Southwark,,,0.176207,42145,21031,1,2038,16062,5943,3.224918,3.319131,,,,,,,,179836,193
6,1920901,City of Edinburgh,,,0.187426,48146,23286,31,6138,9268,17272,12.273270,12.807879,,,,,,,,223564,57
8,7444,Paris,,,0.215951,56622,24667,101,9071,4752,28774,36.989448,37.998170,,,,,,,,248268,324
8,51805,London Borough of Tower Hamlets,,,0.130750,32888,16367,1,1885,12013,5090,2.694448,2.607433,,,,,,,,176480,92
8,1544956,Mountain View,,,0.095576,20224,10077,1,1027,7350,3468,0.960339,1.008163,,,,,,,,108632,108
10,271110,Amsterdam,,,0.165322,41306,20189,1,5082,4476,22188,8.241735,8.414026,,,,,,,,197996,152
5,10264792,Hong Kong Island,,,0.090694,21676,10647,5,1621,6555,5314,1.959464,1.999543,,,,,,,,124364,6
8,71033,Strasbourg,,,0.066982,15819,7327,16,2641,1141,8223,2.291093,2.332836,,,,,,,,97692,77
