admin_level,id,name,Number of open links,Bigraph built in,Bigraph loaded in,Number of nodes,Number of edges,Number of boundaries,Number of streets,Number of buildings,Number of junctions,Added agent in,leave_building,move_across_linked_streets,enter_building starting in street,enter_building_from_street,leave_street,enter_building_from_boundary,enter_building starting in boundary,enter_street,Maximum resident set size (kbytes),Number of outer names
2,536780,Singapore,,,0.850144,212140,104497,13,11917,70981,46318,,,,,,,,,,431068,4
4,162069,District of Columbia,,,1.334972,267244,132694,10,4160,118037,22830,,,,,,,,,,551372,262
4,62422,Berlin,,,1.215692,277289,135449,115,15213,96373,53887,,,,,,,,,,562672,208
8,51781,City of Westminster,,,0.231432,57179,28460,2,1809,23816,5925,,,,,,,,,,132740,183
8,295353,South Cambridgeshire,,,0.299026,75961,37326,105,4663,27711,11003,,,,,,,,,,165780,178
6,1906767,Glasgow City,,,0.285309,70524,34790,1,7427,15678,24312,,,,,,,,,,156012,194
9,55734,Steglitz-Zehlendorf,,,0.306557,74559,36943,12,1829,32366,6145,,,,,,,,,,165516,102
8,118362,Leeds,,,0.663984,161213,79732,39,13715,47115,39475,,,,,,,,,,330816,132
6,51800,City of London,,,0.019395,4193,2089,2,431,1077,1173,,,,,,,,,,36464,93
8,172987,Liverpool,,,0.208727,50577,24816,1,6879,7769,21279,,,,,,,,,,118260,122
8,8450265,London Borough of Southwark,,,0.172753,42145,21031,1,2038,16062,5943,,,,,,,,,,104824,193
8,2305280,Oceanside,,,0.311595,78005,38904,1,2709,32250,8085,,,,,,,,,,172452,86
6,1920901,City of Edinburgh,,,0.193976,48146,23286,31,6138,9268,17272,,,,,,,,,,113812,57
8,111848,Chula Vista,,,0.310545,77630,38686,1,3186,30541,10174,,,,,,,,,,172428,129
9,30353,Wandsbek,,,0.602142,149385,74302,20,2582,68076,8029,,,,,,,,,,312720,113
8,295355,Cambridge,,,0.307132,62838,31355,1,1612,27868,3876,,,,,,,,,,143572,73
8,7444,Paris,,,0.242442,56622,24667,101,9071,4752,28774,,,,,,,,,,127212,324
8,51805,London Borough of Tower Hamlets,,,0.139401,32888,16367,1,1885,12013,5090,,,,,,,,,,86332,92
6,62428,Munich,,,0.735194,164233,78594,142,10378,54375,34443,,,,,,,,,,335684,140
10,2604777,Dover,,,0.008873,2184,1069,1,391,158,1084,,,,,,,,,,33368,25
8,1544956,Mountain View,,,0.081817,20224,10077,1,1027,7350,3468,,,,,,,,,,64004,108
10,271110,Amsterdam,,,0.170152,41306,20189,1,5082,4476,22188,,,,,,,,,,100544,152
8,295349,Fenland,,,0.053017,13480,6530,17,2283,1688,5504,,,,,,,,,,52032,64
6,180837,Cambridgeshire,,,0.904324,210768,103274,242,16190,69754,38396,,,,,,,,,,431516,225
8,295351,Huntingdonshire,,,0.180111,37597,18234,82,4899,7931,11773,,,,,,,,,,94732,102
8,2305279,Carlsbad,,,0.263862,60972,30425,1,2407,24657,6842,,,,,,,,,,139896,63
8,146656,Manchester,,,0.411158,96802,48052,2,7140,30599,21320,,,,,,,,,,207644,235
8,295352,East Cambridgeshire,,,0.078934,19619,9566,36,2383,4556,5669,,,,,,,,,,62328,85
5,10264792,Hong Kong Island,,,0.085581,21676,10647,5,1621,6555,5314,,,,,,,,,,66724,6
8,71033,Strasbourg,,,0.068043,15819,7327,16,2641,1141,8223,,,,,,,,,,56160,77
2,536780,Singapore,,,0.876898,212140,104497,13,11917,70981,46318,,,,,,,,,,430960,4
4,162069,District of Columbia,,,1.113465,267244,132694,10,4160,118037,22830,,,,,,,,,,551188,262
4,62422,Berlin,,,1.102263,277289,135449,115,15213,96373,53887,,,,,,,,,,562764,208
8,51781,City of Westminster,,,0.226643,57179,28460,2,1809,23816,5925,,,,,,,,,,132728,183
8,295353,South Cambridgeshire,,,0.295335,75961,37326,105,4663,27711,11003,,,,,,,,,,165772,178
6,1906767,Glasgow City,,,0.278680,70524,34790,1,7427,15678,24312,,,,,,,,,,156020,194
9,55734,Steglitz-Zehlendorf,,,0.296707,74559,36943,12,1829,32366,6145,,,,,,,,,,165328,102
8,118362,Leeds,,,0.672881,161213,79732,39,13715,47115,39475,,,,,,,,,,330748,132
6,51800,City of London,,,0.016103,4193,2089,2,431,1077,1173,,,,,,,,,,36760,93
8,172987,Liverpool,,,0.208923,50577,24816,1,6879,7769,21279,,,,,,,,,,118180,122
8,8450265,London Borough of Southwark,,,0.185787,42145,21031,1,2038,16062,5943,,,,,,,,,,104624,193
8,2305280,Oceanside,,,0.341291,78005,38904,1,2709,32250,8085,,,,,,,,,,172640,86
6,1920901,City of Edinburgh,,,0.203432,48146,23286,31,6138,9268,17272,,,,,,,,,,113780,57
8,111848,Chula Vista,,,0.327332,77630,38686,1,3186,30541,10174,,,,,,,,,,172232,129
9,30353,Wandsbek,,,0.632648,149385,74302,20,2582,68076,8029,,,,,,,,,,312748,113
8,295355,Cambridge,,,0.253582,62838,31355,1,1612,27868,3876,,,,,,,,,,143704,73
8,7444,Paris,,,0.218618,56622,24667,101,9071,4752,28774,,,,,,,,,,126796,324
8,51805,London Borough of Tower Hamlets,,,0.136537,32888,16367,1,1885,12013,5090,,,,,,,,,,86452,92
6,62428,Munich,,,0.644144,164233,78594,142,10378,54375,34443,,,,,,,,,,335628,140
10,2604777,Dover,,,0.009403,2184,1069,1,391,158,1084,,,,,,,,,,33652,25
8,1544956,Mountain View,,,0.078035,20224,10077,1,1027,7350,3468,,,,,,,,,,64148,108
10,271110,Amsterdam,,,0.159329,41306,20189,1,5082,4476,22188,,,,,,,,,,100492,152
8,295349,Fenland,,,0.050606,13480,6530,17,2283,1688,5504,,,,,,,,,,52212,64
6,180837,Cambridgeshire,,,0.891889,210768,103274,242,16190,69754,38396,,,,,,,,,,431644,225
8,295351,Huntingdonshire,,,0.154507,37597,18234,82,4899,7931,11773,,,,,,,,,,94936,102
8,2305279,Carlsbad,,,0.254651,60972,30425,1,2407,24657,6842,,,,,,,,,,139768,63
8,146656,Manchester,,,0.390412,96802,48052,2,7140,30599,21320,,,,,,,,,,207564,235
8,295352,East Cambridgeshire,,,0.080163,19619,9566,36,2383,4556,5669,,,,,,,,,,62480,85
5,10264792,Hong Kong Island,,,0.086721,21676,10647,5,1621,6555,5314,,,,,,,,,,66572,6
8,71033,Strasbourg,,,0.061136,15819,7327,16,2641,1141,8223,,,,,,,,,,56016,77
